d_date_id,Numerator,d_level0_id,Denominator,d_kpi_id,d_level1_id,d_level2_id
20181209,262277.64186020015,1,0,22,2,1
20181210,297002.40643133305,1,0,22,2,1
20181211,292823.2229091372,1,0,22,2,1
20181212,286427.2094062118,1,0,22,2,1
20181213,299409.72327327006,1,0,22,2,1
20181214,298900.94361074775,1,0,22,2,1
20181215,278528.5827856993,1,0,22,2,1
20181216,274653.4717093217,1,0,22,2,1
20181217,302708.50775027915,1,0,22,2,1
20181218,341901.04620007804,1,0,22,2,1
20181219,374067.0492807147,1,0,22,2,1
20181220,372948.49782688246,1,0,22,2,1
20181221,428377.81137497444,1,0,22,2,1
20181222,406059.38397426164,1,0,22,2,1
20181223,426752.69458523,1,0,22,2,1
20181224,470097.4023911613,1,0,22,2,1
20181225,497546.857597188,1,0,22,2,1
20181226,470896.42112037155,1,0,22,2,1
20181227,463681.5924919998,1,0,22,2,1
20181228,427861.77590136667,1,0,22,2,1
20181229,452144.0375417708,1,0,22,2,1
20181230,500614.36534919095,1,0,22,2,1
20181231,489227.3311593374,1,0,22,2,1
20190101,466994.1364410573,1,0,22,2,1
20190102,479731.4555817096,1,0,22,2,1
20190103,522615.71226183546,1,0,22,2,1
20190104,274371878.64835596,1,0,22,2,1
20190105,289214796.324462,1,0,22,2,1
20190106,297915673.9290046,1,0,22,2,1
20190107,286777956.3494508,1,0,22,2,1
20190108,285669360.29546034,1,0,22,2,1
20190109,278833689.2710244,1,0,22,2,1
20190110,106532191.3862532,1,0,22,2,1
20190111,244948783.0334052,1,0,22,2,1
20190112,279356905.92841864,1,0,22,2,1
20190113,245945948.64390212,1,0,22,2,1
20190114,178982087.22489065,1,0,22,2,1
20190115,249861835.36283192,1,0,22,2,1
20190116,251909933.4387801,1,0,22,2,1
20190117,255135950.04221785,1,0,22,2,1
20190118,266345404.20242217,1,0,22,2,1
20190119,233277442.51878223,1,0,22,2,1
20190120,240280521.06012094,1,0,22,2,1
20190121,237042982.90337703,1,0,22,2,1
20190122,229816955.9589801,1,0,22,2,1
20190123,224120827.05573228,1,0,22,2,1
20190124,231812553.80569145,1,0,22,2,1
20190125,229758095.23232263,1,0,22,2,1
20190126,230073924.29898643,1,0,22,2,1
20190127,233508524.10499412,1,0,22,2,1
20190128,228276987.94097173,1,0,22,2,1
20190129,99860042.92117938,1,0,22,2,1
20190130,207144287.83906347,1,0,22,2,1
20190131,210834320.90296355,1,0,22,2,1
20190201,216900931.84018788,1,0,22,2,1
20190202,215408814.759429,1,0,22,2,1
20190203,218184390.42415357,1,0,22,2,1
20190204,218220009.67588502,1,0,22,2,1
20190205,217560703.99340916,1,0,22,2,1
20190206,219312578.50966853,1,0,22,2,1
20190207,211838741.92938888,1,0,22,2,1
20190208,217117599.77892655,1,0,22,2,1
20190209,222104977.20600754,1,0,22,2,1
20190210,247812497.72454038,1,0,22,2,1
20190211,244537336.77052528,1,0,22,2,1
20190212,250933494.07758734,1,0,22,2,1
20190213,248854093.4880317,1,0,22,2,1
20190214,254582578.27356663,1,0,22,2,1
20190215,251319580.11911052,1,0,22,2,1
20190216,255275171.38275808,1,0,22,2,1
20190217,255244964.29411805,1,0,22,2,1
20190218,267446959.8953169,1,0,22,2,1
20190219,290649516.2221337,1,0,22,2,1
20190220,310188382.5138751,1,0,22,2,1
20190221,307478124.44027084,1,0,22,2,1
20190222,307365296.79602313,1,0,22,2,1
20190223,315548405.867677,1,0,22,2,1
20190224,316199141.89152235,1,0,22,2,1
20190225,350296515.30914825,1,0,22,2,1
20190226,296128702.6677764,1,0,22,2,1
20190227,295504960.7140348,1,0,22,2,1
20190228,298773028.35671836,1,0,22,2,1
20190301,296493419.10149014,1,0,22,2,1
20190302,301083795.3288342,1,0,22,2,1
20190303,290421740.5580791,1,0,22,2,1
20190304,292343891.9616836,1,0,22,2,1
20190305,276102409.91060185,1,0,22,2,1
20190306,282725575.69480187,1,0,22,2,1
20190307,306437608.2889112,1,0,22,2,1
20190308,309366909.02335155,1,0,22,2,1
20190309,301111127.7163333,1,0,22,2,1
20190310,311446781.6309267,1,0,22,2,1
20190311,300529025.1239131,1,0,22,2,1
20190312,297875518.0890559,1,0,22,2,1
20190313,299745253.0260711,1,0,22,2,1
20190314,294368889.09764206,1,0,22,2,1
20190315,297344564.63542014,1,0,22,2,1
20190316,303196162.8576466,1,0,22,2,1
20190317,321858254.66143847,1,0,22,2,1
20190318,321777909.82176155,1,0,22,2,1
20190319,317700566.3638788,1,0,22,2,1
20190320,314883397.02415776,1,0,22,2,1
20190321,315334005.8234227,1,0,22,2,1
20190322,312695904.8735388,1,0,22,2,1
20190323,305343202.7961671,1,0,22,2,1
20190324,307080490.30828774,1,0,22,2,1
20190325,308232386.9407688,1,0,22,2,1
20190326,302280078.743758,1,0,22,2,1
20190327,298437920.3349767,1,0,22,2,1
20190328,313603413.537449,1,0,22,2,1
20190329,306679737.2073224,1,0,22,2,1
20190330,315414479.38812846,1,0,22,2,1
20190331,320989546.6629193,1,0,22,2,1
20190401,318234807.05035585,1,0,22,2,1
20190402,315797725.18937993,1,0,22,2,1
